word,hp,all,fish.odds,fish.p
a,1960,445136,1.2175153394,9.92889160619086e-17
i,1205,269472,1.2339633865,2.81087429680773e-12
you,1007,161034,1.731284928,1.51942906660924e-56
is,971,182304,1.4717770954,2.89512548007305e-29
it,933,221343,1.1612594974,9.61144706091085e-06
my,578,132229,1.2036067418,1.61858333695959e-05
are,459,82721,1.529370962,2.34606501874064e-17
no,388,65661,1.6284707809,7.57800842943213e-19
your,379,78031,1.3373339406,6.73840518356796e-08
me,362,80856,1.2321571655,0.000124462
they,360,80366,1.2328162276,0.0001334625
one,329,66069,1.3709403559,6.14772086889494e-08
love,240,44474,1.4853796452,9.87956051649382e-09
come,197,40738,1.3304459388,0.0001252792
eye,183,36792,1.3684565696,5.40539526226322e-05
night,172,29243,1.6186561753,4.74506327829042e-09
am,171,21358,2.2043574768,6.87840918569985e-20
here,151,28765,1.4441575282,1.93461342334658e-05
say,145,29035,1.3737528347,0.0002506495
death,138,16556,2.294337512,1.14147194571088e-17
blue,122,12878,2.6075449925,6.14213077010244e-20
chang,115,8613,3.6757310703,1.79297180920108e-30
word,112,19468,1.5825801467,5.60130287603907e-06
black,110,17120,1.7677122011,4.03042983213723e-08
dont,109,11227,2.6719406897,9.71053458742356e-19
wind,108,19118,1.5539202373,1.84708550103052e-05
want,102,14162,1.9816119219,5.22144954630873e-10
noth,99,17614,1.5459610019,4.52191520245425e-05
if,94,42196,0.6117935592,3.10190158405038e-07
then,101,39371,0.7047225248,0.0002581092
when,110,55088,0.5481006564,3.90720277954843e-12
him,113,44596,0.6959932389,5.67564720494167e-05
were,113,43116,0.7199484567,0.0003036773
by,181,71067,0.6992423754,4.70541753804077e-07
their,195,70311,0.761639956,8.54812975589128e-05
as,221,122722,0.4932037572,3.06866277038779e-32
or,225,78600,0.786134812,0.0002269015
but,242,98144,0.6765441665,1.32914825291405e-10
was,248,101583,0.6697733361,2.352912401304e-11
from,278,98589,0.7741229806,1.03964192620798e-05
his,314,123671,0.6963919283,1.51140771927047e-11
he,332,118442,0.7692953231,8.50650905387852e-07
that,392,186179,0.5760463556,1.01422019156111e-32
with,447,158443,0.7738764781,2.0947339146098e-08
to,1081,389257,0.759101115,7.85875584656615e-21
and,1486,637752,0.6314376521,5.20521412624202e-79
of,1553,534243,0.7937978756,1.61650665289848e-20
the,4006,1288200,0.8445278411,4.53875694425651e-26
