words,x,y,translation,cluster
aug,-0.1618263461,-0.1091225179,eye,1
bild,0.2194123,0.240601588,image,2
blick,-0.2331397852,-0.0434441234,view,1
ernst,-0.3303689174,-0.0757330858,serious,1
freud,0.3903102257,-0.2953945015,delight,1
gefuhl,0.0973344318,0.4533569321,feeling,2
glucklich,0.3214702129,-0.147811617,happy,1
herz,0.2783719946,-0.2653827369,heart,1
innig,-0.2096283918,-0.2019466593,inner,1
leis,-0.5890660649,-0.2067024498,quietly,1
lieb,0.3711368517,-0.2210805819,love,1
lieblich,0.004864104,0.5666408359,charming,2
reiz,0.3485816073,0.3171554557,allure,2
sanft,-0.3136680866,-0.2499476101,tender,1
schien,-0.2043296313,0.5322925347,appear,2
schon,0.2390611906,0.2806442756,beauty,2
seel,-0.0040187247,-0.0319483447,soul,1
still,0.1109031963,-0.437925501,silence,1
suss,0.2780789483,-0.1801774141,sweet,1
tief,-0.6134791151,0.0759255214,deep,1
