behold,sight
gaze,sight
glanc,sight
glimps,sight
look,sight
notic,sight
observ,sight
peer,sight
regard,sight
saw,sight
see,sight
seen,sight
sight,sight
stare,sight
view,sight
watch,sight
wit,sight
aroma,smell
fragranc,smell
perfum,smell
pungenc,smell
pungent,smell
reek,smell
scent,smell
smell,smell
sniff,smell
stank,smell
stench,smell
stink,smell
stunk,smell
whiff,smell
audibl,sound
deaf,sound
hear,sound
heard,sound
hush,sound
listen,sound
loud,sound
muffl,sound
mute,sound
nois,sound
noiseless,sound
noisi,sound
overhear,sound
overheard,sound
quiet,sound
resound,sound
silent,sound
sound,sound
ate,taste
bit,taste
bite,taste
bitten,taste
bitter,taste
chew,taste
digest,taste
dine,taste
eat,taste
fed,taste
feed,taste
nibbl,taste
salti,taste
sour,taste
swallow,taste
tast,taste
caress,touch
catch,touch
caught,touch
clench,touch
clutch,touch
gave,touch
give,touch
grab,touch
grasp,touch
grip,touch
held,touch
hold,touch
seiz,touch
touch,touch
