feature,a.median,b.median,ratio,diff,wilcox.p
family,0.53,0.15,3.5333333333,0.38,1.49227358381147e-14
Exclam,0.07,0.02,3.5,0.05,2.01778615239215e-10
Parenth,0.03,0.1,3.3333333333,-0.07,1.10929803610562e-06
we,0.155,0.51,3.2903225806,-0.355,3.50669635855741e-10
shehe,5.915,1.915,3.088772846,4,7.63624251334643e-27
body,1.28,0.5,2.56,0.78,9.63487121304877e-23
home,0.705,0.29,2.4310344828,0.415,1.37417799725499e-14
you,0.11,0.05,2.2,0.06,0.0552625488
sexual,0.175,0.08,2.1875,0.095,5.7628216769437e-10
see,1.26,0.59,2.1355932203,0.67,2.04435982071154e-17
hear,0.65,0.305,2.131147541,0.345,3.15661303093505e-26
past,6.485,3.11,2.0852090032,3.375,1.25521067632387e-23
feel,0.765,0.37,2.0675675676,0.395,2.21394780215105e-17
present,1.89,3.875,2.0502645503,-1.985,1.1273865990382e-16
work,0.78,1.59,2.0384615385,-0.81,6.69573034015673e-23
friend,0.18,0.095,1.8947368421,0.085,2.64220553473877e-12
percept,2.81,1.49,1.8859060403,1.32,4.99118894195419e-19
anx,0.47,0.26,1.8076923077,0.21,3.68193067787175e-14
ppron,8.73,4.895,1.7834525026,3.835,2.05905260308457e-24
bio,2.225,1.265,1.7588932806,0.96,3.40162206585666e-14
ingest,0.3,0.18,1.6666666667,0.12,3.36142036732288e-05
social,11.805,7.69,1.5351105332,4.115,6.94280083145539e-20
sad,0.595,0.39,1.5256410256,0.205,2.82642818540203e-16
motion,2.23,1.485,1.5016835017,0.745,2.349716271338e-18
assent,0.03,0.02,1.5,0.01,0.051546827
cause,0.955,1.41,1.4764397906,-0.455,1.42262521270219e-18
achieve,1.25,1.82,1.456,-0.57,6.53655733390164e-19
future,0.68,0.99,1.4558823529,-0.31,1.71221741130597e-07
QMark,0.07,0.05,1.4,0.02,0.1280809599
pronoun,13.065,10.06,1.2987077535,3.005,4.92557690006426e-16
Sixltr,17.175,21.83,1.2710334789,-4.655,8.45642438054579e-17
tentat,1.905,2.385,1.2519685039,-0.48,2.75202045884399e-08
money,0.38,0.475,1.25,-0.095,0.0005589459
time,4.795,3.925,1.221656051,0.87,4.53929753598005e-16
WC,76362.5,62709,1.2177279178,13653.5,0.3837169498
WPS,76362.5,62709,1.2177279178,13653.5,0.3837169498
quant,2.39,2.895,1.2112970711,-0.505,4.39094281758903e-11
SemiC,0.92,0.76,1.2105263158,0.16,0.0225387678
relig,0.44,0.53,1.2045454545,-0.09,0.0878422216
adverb,3.46,2.895,1.195164076,0.565,4.6750092595485e-09
negemo,1.99,1.675,1.1880597015,0.315,2.65004434280818e-05
certain,1.24,1.47,1.185483871,-0.23,4.80692742513221e-05
incl,6.01,5.11,1.1761252446,0.9,2.0001586736195e-11
relativ,14.275,12.155,1.1744138215,2.12,1.16794242963338e-12
Colon,0.17,0.145,1.1724137931,0.025,0.2093396612
Dash,0.64,0.745,1.1640625,-0.105,0.2283175441
auxverb,6.105,7.105,1.1638001638,-1,2.18483759731614e-08
inhib,0.56,0.65,1.1607142857,-0.09,6.56221926175217e-05
ipron,4.36,5.06,1.1605504587,-0.7,6.5291946204455e-07
anger,0.49,0.555,1.1326530612,-0.065,0.6275804808
number,1.005,1.135,1.1293532338,-0.13,0.0013625303
Period,4.19,3.72,1.126344086,0.47,0.0010827068
insight,1.63,1.825,1.1196319018,-0.195,0.039761418
conj,7.46,6.7,1.1134328358,0.76,5.18829472452162e-06
article,9.04,10.055,1.1122787611,-1.015,2.95334383153798e-05
space,7.115,6.44,1.1048136646,0.675,8.52913818786205e-05
they,1.08,1.18,1.0925925926,-0.1,0.1103019839
excl,1.955,2.11,1.0792838875,-0.155,0.0101517049
humans,0.945,0.88,1.0738636364,0.065,0.0403522585
death,0.235,0.22,1.0681818182,0.015,0.1134637579
preps,15.63,16.685,1.0674984005,-1.055,5.824928965375e-13
affect,4.905,4.725,1.0380952381,0.18,0.0629610631
verb,9.98,9.62,1.0374220374,0.36,0.0415686299
i,0.335,0.325,1.0307692308,0.01,0.6215242765
Dic,82.87,80.7,1.026889715,2.17,0.0010969784
cogmech,14.955,15.3,1.0230692076,-0.345,0.2186005671
AllPct,15.435,15.105,1.0218470705,0.33,0.08062993
negate,1.14,1.16,1.0175438596,-0.02,0.7267655054
discrep,1.155,1.175,1.0173160173,-0.02,0.9066300303
Comma,8.055,8.125,1.0086902545,-0.07,0.8766973189
leisure,0.605,0.6,1.0083333333,0.005,0.6930786392
funct,56.99,57.22,1.0040357958,-0.23,0.7796539534
health,0.41,0.41,1,-5.55111512312578e-17,0.7627404148
posemo,2.925,2.925,1,0,0.6556465952
