,source,target,co_occur,type,weight
417,feel,numb,74,undirected,6.0857205072
384,feel,surge,80,undirected,5.9804030959
387,feel,gut,70,undirected,5.7598603263
104,feel,pulse,84,undirected,5.5938751888
278,feel,muscle,78,undirected,5.4983268854
622,feel,panic,65,undirected,5.4696510855
315,feel,pressure,62,undirected,5.4223982006
437,feel,relax,70,undirected,5.2385634027
225,feel,odd,71,undirected,5.1970374306
275,feel,respond,62,undirected,5.1543420926
1535,look,puzzle,96,undirected,4.6530448241
1402,look,confuse,140,undirected,4.46589234
1175,look,uncomfortable,65,undirected,4.3019656901
1221,look,shrug,261,undirected,4.2511577701
1372,look,eyebrow,109,undirected,4.2399892528
1213,look,express,245,undirected,4.2015440792
1210,look,frown,180,undirected,4.1280823106
1085,look,nod,705,undirected,4.0767435058
1274,look,direct,316,undirected,4.042840928
1163,look,around,1330,undirected,4.0402972392
3929,see,flicker,61,undirected,4.9228235132
3762,see,cloud,80,undirected,4.9121251315
3807,see,peer,123,undirected,4.8873780184
3321,see,shape,77,undirected,4.8394177427
3248,see,flash,135,undirected,4.8276438459
3693,see,video,54,undirected,4.8165590135
3868,see,tower,60,undirected,4.8067646159
3784,see,angle,57,undirected,4.7803393881
3585,see,distance,123,undirected,4.7735193914
3327,see,movement,94,undirected,4.7726391251
4618,think,worse,84,undirected,5.2076841744
4614,think,danger,85,undirected,5.0400676944
4689,think,decision,58,undirected,5.0230776761
4504,think,actual,181,undirected,4.9920811649
4452,think,odd,67,undirected,4.9840200208
4716,think,problem,91,undirected,4.9757717733
4806,think,hell,66,undirected,4.9640681286
4403,think,event,53,undirected,4.9599147238
4374,think,moment,566,undirected,4.9538060609
4364,think,frown,119,undirected,4.9474010761
